## Ground Truth Data for 82_Torun_2001
Source: MOESM5_dataset.xlsx

### Sheet: Data 2 Soil  application (study_ids: [82])
Headers: ['Observation ID', 'Study ID', 'Publication', 'Country', 'Available  Zn (mg kg-1)', 'Available  Zn grouping', 'pH', 'pH grouping', 'CaCO3(%)', 'CaCO3 grouping', 'Organic matter (g kg-1)', 'Organic matter grouping', 'N rate (kg N ha-1) ', 'N rate grouping', 'P rate (kg P ha-1)', 'P rate grouping', 'K rate (kg K ha-1)', 'K rate grouping', 'Zn fertilizer type', 'Zn rate (kg Zn ha-1)']

  Found 50 rows:
  {'Observation ID': 777, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3460}
  {'Observation ID': 801, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 1980}
  {'Observation ID': 802, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3580}
  {'Observation ID': 803, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '4000–6000', 'Grain yield (kg ha-1)': 4020}
  {'Observation ID': 804, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2470}
  {'Observation ID': 805, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2880}
  {'Observation ID': 806, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3410}
  {'Observation ID': 807, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3740}
  {'Observation ID': 808, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2500}
  {'Observation ID': 809, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3470}
  {'Observation ID': 810, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2070}
  {'Observation ID': 811, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 1630}
  {'Observation ID': 812, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 1840}
  {'Observation ID': 813, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 1620}
  {'Observation ID': 814, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2340}
  {'Observation ID': 815, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 3410}
  {'Observation ID': 816, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 1830}
  {'Observation ID': 817, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2500}
  {'Observation ID': 818, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '2000–4000', 'Grain yield (kg ha-1)': 2420}
  {'Observation ID': 819, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 1220}
  {'Observation ID': 820, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 800}
  {'Observation ID': 821, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 660}
  {'Observation ID': 822, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 1440}
  {'Observation ID': 823, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 1350}
  {'Observation ID': 824, 'Study ID': 82, 'Publication': 'Torun, A., Gultekin, I., Kalayci, M., Yilmaz, A., Eker, S., Cakmak, I., 2001. Effects of zinc fertilization on grain yield and shoot concentrations of zinc, boron, and phosphorus of 25 wheat cultivars grown on a zinc-deficient and boron-toxic soil. Journal of Plant Nutrition, 24(11), 1817-1829.', 'Country': 'Turkey', 'Available  Zn (mg kg-1)': 0.1, 'Available  Zn grouping': '≤0.5', 'pH': 7.8, 'pH grouping': '>7.0', 'CaCO3(%)': 38, 'CaCO3 grouping': '>15', 'Organic matter (g kg-1)': 20, 'Organic matter grouping': '10–20', 'N rate (kg N ha-1) ': 70, 'N rate grouping': '<110', 'P rate (kg P ha-1)': 30.228, 'P rate grouping': '26–44', 'K rate (kg K ha-1)': 0, 'K rate grouping': '<25', 'Zn fertilizer type': 'ZnSO4', 'Zn rate (kg Zn ha-1)': 23, 'Zn rate grouping': '>15', 'Numbers of replicates (n)': 4, 'Initial grain yield grouping': '<2000', 'Grain yield (kg ha-1)': 1130}
