row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
ram_2016__ai__0,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,42.7,34.6,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Ludhiana, India"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__35,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,34.2,18.3,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Shaanxi-Yongshou, China"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__36,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,41.9,35.5,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Eskisehir, Turkey"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__37,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,42.3,35.5,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Eskisehir, Turkey"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__38,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,43.8,30.0,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Eskisehir, Turkey"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__39,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,41.8,30.0,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Eskisehir, Turkey"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__40,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,37.2,27.4,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Konya, Turkey"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__41,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,31.1,27.4,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Konya, Turkey"", ""plant_part"": ""grain"", ""year"": ""2011-12"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2011 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__42,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,34.8,24.8,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Konya, Turkey"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__43,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,32.5,24.8,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Konya, Turkey"", ""plant_part"": ""grain"", ""year"": ""2012-13"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__44,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,46.3,31.8,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Chisamba, Zambia"", ""plant_part"": ""grain"", ""year"": ""2012"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__45,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,48.3,31.8,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Chisamba, Zambia"", ""plant_part"": ""grain"", ""year"": ""2012"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2012 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__46,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,52.5,33.8,Table 5,0,"T:Foliar Zn (0.5% ZnSO4.7H2O at booting+milk) || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Chisamba, Zambia"", ""plant_part"": ""grain"", ""year"": ""2013"", ""zn_method"": ""foliar"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
ram_2016__ai__47,ai,ram_2016,grain_zn,wheat,Foliar,none,0,,single_cell,mg/kg,absolute_control,51.8,33.8,Table 5,0,"T:Foliar Zn + pesticide || C:No Zn application || el:Zn || tissue:grain || unit:mg/kg || n:3 || obs: || variant:strict || app_type_src:strict:treatment_description(gen_ai_keys.py port) || unit_conversion:mg/kg->mg/kg x1 || mods:{""cultivar"": ""not specified"", ""location"": ""Chisamba, Zambia"", ""plant_part"": ""grain"", ""year"": ""2013"", ""zn_method"": ""foliar+pesticide"", ""zn_rate"": ""0.5% ZnSO4.7H2O x2 + pesticide"", ""zn_source"": ""ZnSO4""} || decoded_timepoint(blanked):y2013 || decoded_aggregation(canonicalised):single_cell",rebuild_2026-08-19/hui
