element,tissue,treatment_mean,control_mean,treatment_variance,control_variance,variance_type,n,unit,data_source,treatment_description,control_description,moderators,confidence,notes,effect_pct,ln_rr,grim_valid,cv_reasonable,direction_expected,paper_id
Grain yield,grain,3.77,3.2,0.2724,0.2724,LSD,3,t ha-1,Table 4,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),17.812499999999996,,,,,69_Ramzan_2020
Grain yield,grain,3.67,3.31,0.2724,0.2724,LSD,3,t ha-1,Table 4,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),10.87613293051359,,,,,69_Ramzan_2020
Grain yield,grain,4.15,3.2,0.2724,0.2724,LSD,3,t ha-1,Table 4,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),29.687500000000007,,,,,69_Ramzan_2020
Grain yield,grain,3.99,3.31,0.2724,0.2724,LSD,3,t ha-1,Table 4,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),20.543806646525685,,,,,69_Ramzan_2020
Grain yield,grain,3.88,3.2,0.2724,0.2724,LSD,3,t ha-1,Table 4,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),21.249999999999993,,,,,69_Ramzan_2020
Grain yield,grain,3.82,3.31,0.2724,0.2724,LSD,3,t ha-1,Table 4,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),15.407854984894254,,,,,69_Ramzan_2020
Grain yield,grain,3.98,3.2,0.2724,0.2724,LSD,3,t ha-1,Table 4,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),24.374999999999993,,,,,69_Ramzan_2020
Grain yield,grain,3.92,3.31,0.2724,0.2724,LSD,3,t ha-1,Table 4,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),18.429003021148034,,,,,69_Ramzan_2020
Harvest index,whole plant,32.9,29.4,1.8247,1.8247,LSD,3,%,Table 4,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),11.904761904761905,,,,,69_Ramzan_2020
Harvest index,whole plant,31.7,30.8,1.8247,1.8247,LSD,3,%,Table 4,Foliar spray of 0.5% ZnSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),2.9220779220779174,,,,,69_Ramzan_2020
Harvest index,whole plant,35.5,29.4,1.8247,1.8247,LSD,3,%,Table 4,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),20.7482993197279,,,,,69_Ramzan_2020
Harvest index,whole plant,33.7,30.8,1.8247,1.8247,LSD,3,%,Table 4,Foliar spray of 0.5% ZnSO4 and 1% FeSO4,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),9.415584415584423,,,,,69_Ramzan_2020
Harvest index,whole plant,32.6,29.4,1.8247,1.8247,LSD,3,%,Table 4,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),10.884353741496609,,,,,69_Ramzan_2020
Harvest index,whole plant,32.9,30.8,1.8247,1.8247,LSD,3,%,Table 4,Soil supplementation of 10 kg of Zn ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),6.81818181818181,,,,,69_Ramzan_2020
Harvest index,whole plant,33.0,29.4,1.8247,1.8247,LSD,3,%,Table 4,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2016-2017"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),12.244897959183678,,,,,69_Ramzan_2020
Harvest index,whole plant,32.7,30.8,1.8247,1.8247,LSD,3,%,Table 4,Soil supplementation of 10 kg of Zn ha-1 and 12 kg of Fe ha-1,Control,"{""year"": ""2017-2018"", ""site"": ""Faisalabad, Pakistan""}",high,Models agree (diff=0.0%),6.168831168831176,,,,,69_Ramzan_2020
Grain Zn concentration (mg kg⁻¹),grain,44.5,27.8,0.9,1.5,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Millat-2011"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Millat-2011""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],60.07194244604316,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,49.6,31.4,1.2,0.5,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Millat-2011"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Millat-2011""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],57.96178343949045,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,40.9,23.6,0.8,0.5,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Fsd-2008"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Fsd-2008""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],73.3050847457627,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,46.4,28.3,1.7,1.7,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Fsd-2008"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Fsd-2008""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],63.95759717314486,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,36.0,26.1,1.2,0.6,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Shafaq-2006"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Shafaq-2006""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],37.93103448275861,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,39.6,31.4,1.0,0.3,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Shafaq-2006"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Shafaq-2006""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],26.11464968152867,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,39.4,32.6,2.1,1.7,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Potohar"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Potohar""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],20.858895705521462,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,42.7,35.3,0.9,1.1,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Potohar"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Potohar""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],20.963172804532597,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,30.9,27.2,0.5,0.1,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Lasani-2008"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Lasani-2008""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],13.602941176470587,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,34.8,30.4,0.9,0.9,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Lasani-2008"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Lasani-2008""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],14.473684210526311,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,37.2,28.1,0.3,1.3,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""SH-02"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""SH-02""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],32.38434163701068,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,41.1,31.7,1.0,1.3,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""SH-02"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""SH-02""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],29.65299684542588,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,37.5,27.2,1.2,0.7,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Ufaq-2002"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Ufaq-2002""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],37.867647058823536,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,41.9,32.3,1.9,1.6,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Ufaq-2002"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Ufaq-2002""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],29.721362229102173,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,33.6,26.0,1.4,0.4,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Iqbal-2000"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Iqbal-2000""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],29.230769230769237,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,34.1,31.9,0.2,0.7,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Iqbal-2000"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Iqbal-2000""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],6.89655172413794,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,33.9,25.3,1.2,1.3,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Punjab-2011"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Punjab-2011""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],33.99209486166007,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,39.5,30.3,1.6,1.2,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Punjab-2011"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Punjab-2011""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],30.36303630363036,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,37.1,27.3,1.9,1.4,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Kohinoor-83"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Kohinoor-83""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],35.8974358974359,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,41.0,28.4,3.9,2.8,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Kohinoor-83"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Kohinoor-83""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],44.3661971830986,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,41.2,29.6,0.2,0.5,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Sehar-2006"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Sehar-2006""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],39.18918918918919,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,44.1,34.2,0.9,3.1,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Sehar-2006"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Sehar-2006""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],28.947368421052627,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,47.0,31.7,1.5,1.6,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""GA-02"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""GA-02""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],48.26498422712934,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,53.9,34.0,1.5,1.0,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""GA-02"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""GA-02""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],58.52941176470588,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,36.0,30.2,0.4,2.9,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Pasban-90"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Pasban-90""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],19.205298013245038,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,43.0,36.4,1.9,1.9,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Pasban-90"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Pasban-90""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],18.13186813186814,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,41.6,33.2,1.4,0.5,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Fsd-83"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Fsd-83""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],25.3012048192771,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,50.2,34.5,1.4,1.1,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Fsd-83"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Fsd-83""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],45.5072463768116,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,36.4,28.2,0.6,0.5,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""AARI-2011"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""AARI-2011""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],29.078014184397162,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,37.3,30.6,1.6,1.7,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""AARI-2011"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""AARI-2011""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],21.895424836601293,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,34.2,25.2,1.5,0.7,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Fareed-2006"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Fareed-2006""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],35.71428571428573,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,37.2,30.3,1.1,1.3,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Fareed-2006"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Fareed-2006""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],22.77227722772278,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,30.3,25.6,2.0,0.0,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Mairaj-2008"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Mairaj-2008""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],18.359374999999996,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,35.8,30.6,2.0,1.8,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Mairaj-2008"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Mairaj-2008""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],16.993464052287564,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,29.8,25.9,0.7,0.6,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Bakhar-2002"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Bakhar-2002""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],15.057915057915066,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,32.9,28.0,0.9,1.2,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Bakhar-2002"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Bakhar-2002""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],17.499999999999996,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,37.7,29.0,1.4,1.2,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Chenab-2000"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Chenab-2000""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],30.00000000000001,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,37.2,29.1,0.8,1.8,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Chenab-2000"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Chenab-2000""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],27.835051546391753,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,36.1,27.9,2.1,0.8,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Punjab-96"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Punjab-96""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],29.39068100358424,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,37.7,31.7,1.6,1.0,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Punjab-96"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Punjab-96""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],18.927444794952695,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,33.3,28.6,0.6,0.5,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""MH-97"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""MH-97""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],16.43356643356642,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,36.5,32.1,1.0,1.8,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""MH-97"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""MH-97""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],13.707165109034264,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,29.0,22.9,1.9,0.2,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Chakwal-50"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Chakwal-50""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],26.637554585152845,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,34.5,26.6,1.6,0.7,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Chakwal-50"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Chakwal-50""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],29.699248120300748,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,34.3,28.2,2.3,1.3,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Sandal-73"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Sandal-73""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],21.631205673758856,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,36.6,29.7,0.3,0.6,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Sandal-73"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Sandal-73""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],23.23232323232324,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,38.2,31.2,1.4,1.6,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Pak-81"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Pak-81""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],22.43589743589745,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,35.6,27.5,0.5,0.8,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Pak-81"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Pak-81""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],29.45454545454546,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,33.5,23.2,4.2,1.2,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Inqlaab-91"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Inqlaab-91""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],44.396551724137936,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,39.9,25.1,0.8,0.4,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Inqlaab-91"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Inqlaab-91""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],58.964143426294804,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,47.4,33.3,1.2,0.6,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Blue Silver"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Blue Silver""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],42.34234234234235,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,54.4,30.4,2.1,1.7,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Blue Silver"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Blue Silver""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],78.94736842105263,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,32.6,24.9,1.1,0.9,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Fsd-85"", ""year"": ""2013-2014"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Fsd-85""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],30.923694779116477,,,,,70_Rehman_2018
Grain Zn concentration (mg kg⁻¹),grain,39.1,32.5,1.0,1.0,SE,,mg/kg,Table 3,Soil application of Zn at 10 kg ha⁻¹ as zinc sulfate,No Zn application,"{""cultivar"": ""Fsd-85"", ""year"": ""2014-2015"", ""site"": ""Faisalabad, Pakistan"", ""genotype"": ""Fsd-85""}",high,Models agree (diff=0.0%) [Claude+Gemini agree],20.307692307692314,,,,,70_Rehman_2018
