outcome_variable,treatment_description,control_description,treatment_mean,control_mean,treatment_n,control_n,data_source,notes,control_se,effect_pct,element,mod_AMF_status,mod_Cd_added_mg_kg,mod_Cu_added_mg_kg,mod_DAG,mod_K_supply_mg_per_l,mod_N_rate,mod_N_supply_mg_per_l,mod_P_level_mg_per_kg,mod_P_supply_mg_per_l,mod_TOS,mod_average_across,mod_boron_category,mod_boron_level,mod_category,mod_clipping,mod_clone,mod_co2_control,mod_co2_elevated,mod_co2_level,mod_co2_ppm,mod_co2_treatment,mod_cohort,mod_crop,mod_cultivar,mod_culture_system,mod_days_from_seeding,mod_duration_days,mod_ecotype,mod_experiment,mod_fe_supply,mod_fungal_species,mod_genotype,mod_growth_form,mod_growth_stage,mod_harvest,mod_harvest_day,mod_harvest_time,mod_irrigation,mod_leaf_age,mod_leaf_position,mod_maturity,mod_measurement,mod_method,mod_mixture,mod_n_amendment,mod_n_form,mod_needle_age,mod_needle_year,mod_nitrogen_concentration,mod_nitrogen_level,mod_note,mod_nutrient_treatment,mod_o3,mod_o3_treatment,mod_ozone,mod_p_status,mod_p_treatment,mod_p_value,mod_photosynthetic_pathway,mod_rainfall_year,mod_sampling_date,mod_season,mod_significance,mod_soil,mod_soil_fertility,mod_soil_k,mod_soil_moisture,mod_sowing,mod_species,mod_tissue,mod_variety,mod_year,mod_years,n,paper_id,se_control,se_treatment,site,species,tissue,treatment_se,unit
Zn,Elevated CO2 660 ppm,Ambient CO2 355 ppm (OTC control),30,33,3,3,Table 1,,,-9.09,Zn,,,,,,,,,,,,,,,,,,,,,,,,Dragon,,,,,1 (1994),,,,,,,,,normal,,,,,,,,,,,,,,,,,ambient (33 ppb),,,,,,,,,,,,,,,,,,,3,015_Pleijel_2009,,,,,grain,,mg/kg
Zn,Elevated CO2 646 ppm + O3 level 1 (38 ppb),Ambient CO2 355 ppm + O3 level 1 (39 ppb),32,34,3,3,Table 1,,,-5.88,Zn,,,,,,,,,,,,,,,,,,,,,,,,Dragon,,,,,1 (1994),,,,,,,,,normal,,,,,,,,,,,,,,,,,elevated level 1 (~38-39 ppb),,,,,,,,,,,,,,,,,,,3,015_Pleijel_2009,,,,,grain,,mg/kg
Zn,Elevated CO2 663 ppm + O3 level 2 (47 ppb),Ambient CO2 355 ppm + O3 level 2 (46 ppb),31,38,3,3,Table 1,,,-18.42,Zn,,,,,,,,,,,,,,,,,,,,,,,,Dragon,,,,,1 (1994),,,,,,,,,normal,,,,,,,,,,,,,,,,,elevated level 2 (~46-47 ppb),,,,,,,,,,,,,,,,,,,3,015_Pleijel_2009,,,,,grain,,mg/kg
Zn,Elevated CO2 654 ppm + O3 level 3 (54 ppb),Ambient CO2 355 ppm + O3 level 3 (54 ppb),31,37,3,3,Table 1,,,-16.22,Zn,,,,,,,,,,,,,,,,,,,,,,,,Dragon,,,,,1 (1994),,,,,,,,,normal,,,,,,,,,,,,,,,,,elevated level 3 (54 ppb),,,,,,,,,,,,,,,,,,,3,015_Pleijel_2009,,,,,grain,,mg/kg
Zn,Elevated CO2 515 ppm,Ambient CO2 347 ppm (OTC control),21,24,5,5,Table 1,,,-12.5,Zn,,,,,,,,,,,,,,,,,,,,,,,,Dragon,,,,,2 (1995),,,,,,,,,normal,,,,,,,,,,,,,,,,,ambient (23-25 ppb),,,,,,,,,,,,,,,,,,,5,015_Pleijel_2009,,,,,grain,,mg/kg
Zn,Elevated CO2 667 ppm,Ambient CO2 347 ppm (OTC control),23,24,5,5,Table 1,,,-4.17,Zn,,,,,,,,,,,,,,,,,,,,,,,,Dragon,,,,,2 (1995),,,,,,,,,normal,,,,,,,,,,,,,,,,,ambient (23-26 ppb),,,,,,,,,,,,,,,,,,,5,015_Pleijel_2009,,,,,grain,,mg/kg
Zn,Elevated CO2 675 ppm,Ambient CO2 355 ppm (OTC control),31,33,6,6,Table 1,,,-6.06,Zn,,,,,,,,,,,,,,,,,,,,,,,,Dragon,,,,,3 (1996),,,,,,,,,normal,,,,,,,,,,,,,,,,,not monitored,,,,,,,,,,,,,,,,,,,6,015_Pleijel_2009,,,,,grain,,mg/kg
Zn,Elevated CO2 696 ppm + supplemental irrigation,Ambient CO2 358 ppm + supplemental irrigation,30,31,6,6,Table 1,,,-3.23,Zn,,,,,,,,,,,,,,,,,,,,,,,,Dragon,,,,,3 (1996),,,,,,,,,supplemental (double water),,,,,,,,,,,,,,,,,not monitored,,,,,,,,,,,,,,,,,,,6,015_Pleijel_2009,,,,,grain,,mg/kg
K,Elevated CO2 550 ppm,Ambient CO2 384 ppm,5.1,5.2,16,16,Figure 1a,,,-1.9,K,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,g/kg
P,Elevated CO2 550 ppm,Ambient CO2 384 ppm,3.0,3.4,16,16,Figure 1a,,,-11.8,P,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,g/kg
S,Elevated CO2 550 ppm,Ambient CO2 384 ppm,1.35,1.45,16,16,Figure 1a,,,-6.9,S,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,g/kg
Mg,Elevated CO2 550 ppm,Ambient CO2 384 ppm,1.12,1.2,16,16,Figure 1a,,,-6.7,Mg,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,g/kg
Ca,Elevated CO2 550 ppm,Ambient CO2 384 ppm,0.36,0.4,16,16,Figure 1a,,,-10.0,Ca,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,g/kg
Mn,Elevated CO2 550 ppm,Ambient CO2 384 ppm,37.0,37.5,16,16,Figure 1b,,,-1.3,Mn,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,mg/kg
Fe,Elevated CO2 550 ppm,Ambient CO2 384 ppm,30.0,33.5,16,16,Figure 1b,,,-10.4,Fe,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,mg/kg
Zn,Elevated CO2 550 ppm,Ambient CO2 384 ppm,16.5,20.0,16,16,Figure 1b,,,-17.5,Zn,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,mg/kg
Na,Elevated CO2 550 ppm,Ambient CO2 384 ppm,8.5,10.5,16,16,Figure 1b,,,-19.0,Na,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,mg/kg
Cu,Elevated CO2 550 ppm,Ambient CO2 384 ppm,4.8,5.0,16,16,Figure 1b,,,-4.0,Cu,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,mg/kg
N,Elevated CO2 550 ppm,Ambient CO2 384 ppm,22.5,25.3,16,16,"Text (flour protein 128 vs 144 g/kg, grain protein reduced 12.5%, converted via factor 5.7)",,,-11.1,N,,,,,,,,,,,"4 environments (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2)",,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,016_Fernando_2012a,,,,,grain,,g/kg
N,Elevated CO2 680 ul/l,Ambient CO2 (NF),12.0,13.3,,,Table 4,,,-9.77,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
P,Elevated CO2 680 ul/l,Ambient CO2 (NF),2.89,3.24,,,Table 4,,,-10.8,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
P,Elevated CO2 680 ul/l,Ambient CO2 (NF),2.69,3.0,,,Table 4,,,-10.33,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
K,Elevated CO2 680 ul/l,Ambient CO2 (NF),34.6,37.6,,,Table 4,,,-7.98,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
K,Elevated CO2 680 ul/l,Ambient CO2 (NF),19.9,21.0,,,Table 4,,,-5.24,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Ca,Elevated CO2 680 ul/l,Ambient CO2 (NF),13.8,13.4,,,Table 4,,,2.99,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
Ca,Elevated CO2 680 ul/l,Ambient CO2 (NF),1.03,1.34,,,Table 4,,,-23.13,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Mg,Elevated CO2 680 ul/l,Ambient CO2 (NF),5.21,5.44,,,Table 4,,,-4.23,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
Mg,Elevated CO2 680 ul/l,Ambient CO2 (NF),0.948,1.04,,,Table 4,,,-8.85,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Mn,Elevated CO2 680 ul/l,Ambient CO2 (NF),194,174,,,Table 4,,,11.49,Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,ug/g DM
Mn,Elevated CO2 680 ul/l,Ambient CO2 (NF),8.27,9.89,,,Table 4,,,-16.38,Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,ug/g DM
Zn,Elevated CO2 680 ul/l,Ambient CO2 (NF),76.8,78.9,,,Table 4,,,-2.66,Zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,ug/g DM
Zn,Elevated CO2 680 ul/l,Ambient CO2 (NF),21.8,22.7,,,Table 4,,,-3.96,Zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,ug/g DM
Fe,Elevated CO2 680 ul/l,Ambient CO2 (NF),281,276,,,Table 4,,,1.81,Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,ug/g DM
Fe,Elevated CO2 680 ul/l,Ambient CO2 (NF),145,193,,,Table 4,,,-24.87,Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,ug/g DM
P,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3 (O3),2.95,3.17,,,Table 4,,,-6.94,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
P,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,2.64,2.89,,,Table 4,,,-8.65,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
K,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,34.8,36.1,,,Table 4,,,-3.6,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
K,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,19.4,21.2,,,Table 4,,,-8.49,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Ca,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,14.3,14.2,,,Table 4,,,0.7,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
Ca,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,1.01,1.16,,,Table 4,,,-12.93,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Mg,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,5.3,5.38,,,Table 4,,,-1.49,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
Mg,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,0.925,0.973,,,Table 4,,,-4.93,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Mn,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,183,190,,,Table 4,,,-3.68,Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,ug/g DM
Mn,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,10.2,6.75,,,Table 4,,,51.11,Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,ug/g DM
Zn,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,83.0,85.9,,,Table 4,,,-3.38,Zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,ug/g DM
Zn,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,20.5,21.5,,,Table 4,,,-4.65,Zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,ug/g DM
Fe,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,290,281,,,Table 4,,,3.2,Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,ug/g DM
Fe,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,191,95.2,,,Table 4,,,100.63,Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intermediate (max leaf area),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,ug/g DM
N,Elevated CO2 680 ul/l,Ambient CO2 (NF),10.3,12.0,,,Table 5,,,-14.17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
N,Elevated CO2 680 ul/l,Ambient CO2 (NF),10.3,11.0,,,Table 5,,,-6.36,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
P,Elevated CO2 680 ul/l,Ambient CO2 (NF),0.944,1.15,,,Table 5,,,-17.91,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
P,Elevated CO2 680 ul/l,Ambient CO2 (NF),2.35,2.38,,,Table 5,,,-1.26,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
K,Elevated CO2 680 ul/l,Ambient CO2 (NF),29.0,31.6,,,Table 5,,,-8.23,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
K,Elevated CO2 680 ul/l,Ambient CO2 (NF),19.0,19.7,,,Table 5,,,-3.55,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Ca,Elevated CO2 680 ul/l,Ambient CO2 (NF),19.9,21.8,,,Table 5,,,-8.72,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
Ca,Elevated CO2 680 ul/l,Ambient CO2 (NF),0.356,0.365,,,Table 5,,,-2.47,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Mg,Elevated CO2 680 ul/l,Ambient CO2 (NF),6.63,7.1,,,Table 5,,,-6.62,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
Mg,Elevated CO2 680 ul/l,Ambient CO2 (NF),0.968,0.998,,,Table 5,,,-3.01,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Mn,Elevated CO2 680 ul/l,Ambient CO2 (NF),182,229,,,Table 5,,,-20.52,Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,ug/g DM
Mn,Elevated CO2 680 ul/l,Ambient CO2 (NF),5.65,5.74,,,Table 5,,,-1.57,Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,ug/g DM
Zn,Elevated CO2 680 ul/l,Ambient CO2 (NF),141,158,,,Table 5,,,-10.76,Zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,ug/g DM
Zn,Elevated CO2 680 ul/l,Ambient CO2 (NF),15.6,14.9,,,Table 5,,,4.7,Zn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,ug/g DM
Fe,Elevated CO2 680 ul/l,Ambient CO2 (NF),437,567,,,Table 5,,,-22.93,Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,ug/g DM
Fe,Elevated CO2 680 ul/l,Ambient CO2 (NF),31.7,35.9,,,Table 5,,,-11.7,Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,ug/g DM
N,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,10.1,11.7,,,Table 5,,,-13.68,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
N,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,10.4,11.9,,,Table 5,,,-12.61,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
P,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,0.982,1.05,,,Table 5,,,-6.48,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
P,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,2.29,2.37,,,Table 5,,,-3.38,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
K,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,31.8,30.4,,,Table 5,,,4.61,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
K,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,19.3,19.9,,,Table 5,,,-3.02,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Ca,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,21.7,19.6,,,Table 5,,,10.71,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
Ca,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,0.35,0.341,,,Table 5,,,2.64,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
Mg,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,6.35,5.71,,,Table 5,,,11.21,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,aboveground,,mg/g DM
Mg,Elevated CO2+O3 680 ul/l + O3,Ambient CO2 + O3,0.972,1.03,,,Table 5,,,-5.63,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final (maturity),,,,,,,,,,,,,,,,,,,,elevated,,,,,,,,,,,,,,,,,,,,017_Fangmeier_2002,,,,,tuber,,mg/g DM
